Human_Protein_ID	Virus_Protein_ID	Score	Interaction
Q9UKJ1	P06436	0.057	no
Q14653	F5HIC6	0.065	no
P21912	Q98131	0.161	no
Q15477	K9N4V0	0.038	no
Q9HD26	Q6VE52	0.195	no
P04637	Q9QJ49	0.043	no
Q13751	Q3ZK64	0.113	no
Q08174	Q9ICL0	0.093	no
Q13546	F5HAR0	0.045	no
Q86V48	P88986	0.205	no
P07355	P04305	0.090	no
P62136	P36313	0.072	no
O14646	B2BUF1	0.147	no
O14818	Q6SWW3	0.125	no
P63244	Q9Q2P1	0.099	no
P15311	B4UPA8	0.164	no
P13500	O41925	0.095	no
Q9UQ52	P0DKB0	0.115	no
Q8WUM4	O55527	0.187	no
Q93088	Q76R62	0.092	no
P56537	P88940	0.133	no
Q8NC69	Q2PJP0	0.109	no
P35968	P52584	0.124	no
P06400	Q6SW29	0.125	no
P61803	P06929	0.083	no
Q9HD26	Q9IBY5	0.141	no
O15162	P0CK47	0.113	no
P61221	Q9WH76	0.181	no
O00410	Q9YKI3	0.239	yes
Q12959	Q9ICL1	0.263	yes
Q05BQ5	P23372	0.130	no
P05455	O39474	0.115	no
Q08431	P06461	0.075	no
Q6UXV4	P88988	0.095	no
Q96RT1	A3EXD4	0.349	yes
Q9HA64	P88959	0.130	no
Q16666	F8RE30	0.176	no
Q86VP6	Q6TVJ1	0.286	yes
P20591	Q8JPR0	0.148	no
P78352	Q0A2H0	0.285	yes
Q5VV52	R9UMC1	0.032	no
O94986	Q9DLK6	0.091	no
Q99759	Q6DP93	0.083	no
O15118	X5HMX4	0.166	no
P42224	A4GDF4	0.213	yes
O75525	I6TAG8	0.221	yes
Q12800	P03485	0.149	no
P28799	Q69114	0.053	no
P61981	A0A7S4U3Y4	0.111	no
Q9Y5M8	B9UPF3	0.103	no
P0CG48	P10211	0.038	no
Q96DU3	D3JIT8	0.077	no
P42224	Q76RC6	0.207	no
P04792	Q805P6	0.082	no
Q16666	P10234	0.173	no
P25685	P06930	0.173	no
P51610	P30020	0.208	no
P25815	Q05320	0.055	no
Q9Y6C9	A0A0C7TUY8	0.063	no
O75398	P14357	0.123	no
Q13651	P03180	0.062	no
Q53GL7	A4D8X6	0.077	no
P46379	R9UQM6	0.181	no
Q9NSC5	Q3KSS3	0.184	no
P49069	P0DSV7	0.057	no
Q16666	P10185	0.177	no
P20226	P87662	0.096	no
Q12959	P30911	0.345	yes
P04792	P17371	0.043	no
P04637	Q1NZ49	0.068	no
P56962	P88990	0.107	no
Q15906	P03493	0.076	no
O95153	Q9WNA9	0.230	yes
O95271	P03211	0.210	no
P08195	P03454	0.116	no
Q16666	G8HBD9	0.195	no
P15529	P68323	0.049	no
Q9H4A3	Q9QAI4	0.303	yes
Q8IZ63	P10201	0.090	no
Q9HD26	A4URT5	0.149	no
Q93009	Q9DUN1	0.107	no
Q96SI9	P03496	0.350	yes
Q5VU43	P88992	0.367	yes
P56199	P04512	0.114	no
Q9C0F1	P03225	0.100	no
O14733	P20505	0.073	no
Q9UKJ1	A1Z0P7	0.057	no
O43709	P36801	0.095	no
P61956	P19893	0.080	no
Q16666	F8RFA1	0.184	no
P46109	Q99AU3	0.185	no
Q92997	Q20MD4	0.142	no
Q9NRY6	P10227	0.065	no
Q04917	P10230	0.098	no
P62877	Q6TVW2	0.081	no
P07305	P06459	0.135	no
P61769	P59596	0.058	no
Q07812	P03495	0.102	no
Q96SI9	Q20MH3	0.317	yes
O00165	Q9QR69	0.056	no
Q92621	Q99152	0.285	yes
Q10589	A9QPL9	0.061	no
Q9UI95	P24935	0.067	no
Q13630	P06428	0.142	no
Q92966	A4ZNQ3	0.109	no
P78344	P11158	0.178	no
P27694	P88981	0.263	yes
Q99750	Q3KSS4	0.093	no
P46934	Q77DJ6	0.189	no
P68363	P59637	0.110	no
P01903	P03437	0.053	no
P78556	O57300	0.059	no
O95832	P0DTC5	0.057	no
P05455	Q194T2	0.179	no
Q99689	P03086	0.081	no
Q8N9W6	P10210	0.061	no
P20700	P0DTC4	0.124	no
Q13651	P0C6Z6	0.073	no
O75843	P03139	0.134	no
O00505	Q20MD0	0.247	yes
Q14258	B4URA9	0.134	no
Q16666	A0A5J6DW60	0.194	no
P00747	P15240	0.038	no
Q01813	P03452	0.146	no
O95786	P04543	0.154	no
Q9H1Y0	Q30NB4	0.087	no
Q9H0W5	B4URE7	0.138	no
Q9Y4K3	Q6SWB7	0.122	no
Q93009	F5H9G3	0.102	no
O15111	P04862	0.156	no
Q9UI95	Q779E8	0.061	no
Q13888	P21698	0.048	no
Q9ULM6	P88937	0.125	no
Q16666	P04291	0.211	no
P63267	A0A5J6DVX6	0.105	no
Q9NZT1	Q1K9G9	0.171	no
Q15477	C8XNX3	0.072	no
Q9UHD2	P08353	0.199	no
Q9UBQ7	A0A0B6VKU0	0.131	no
Q9Y5L4	Q05128	0.083	no
Q9H6X4	Q81871	0.028	no
Q00987	Q1HVF7	0.158	no
Q9UKJ1	P06436	0.057	no
Q14653	F5HIC6	0.065	no
P21912	Q98131	0.161	no
Q15477	K9N4V0	0.038	no
Q9HD26	Q6VE52	0.195	no
P04637	Q9QJ49	0.043	no
Q13751	Q3ZK64	0.113	no
Q08174	Q9ICL0	0.093	no
Q13546	F5HAR0	0.045	no
Q86V48	P88986	0.205	no
P07355	P04305	0.090	no
P62136	P36313	0.072	no
O14646	B2BUF1	0.147	no
O14818	Q6SWW3	0.125	no
P63244	Q9Q2P1	0.099	no
P15311	B4UPA8	0.164	no
P13500	O41925	0.095	no
Q9UQ52	P0DKB0	0.115	no
Q8WUM4	O55527	0.187	no
Q93088	Q76R62	0.092	no
P56537	P88940	0.133	no
Q8NC69	Q2PJP0	0.109	no
P35968	P52584	0.124	no
P06400	Q6SW29	0.125	no
P61803	P06929	0.083	no
Q9HD26	Q9IBY5	0.141	no
O15162	P0CK47	0.113	no
P61221	Q9WH76	0.181	no
O00410	Q9YKI3	0.239	yes
Q12959	Q9ICL1	0.263	yes
Q05BQ5	P23372	0.130	no
P05455	O39474	0.115	no
Q08431	P06461	0.075	no
Q6UXV4	P88988	0.095	no
Q96RT1	A3EXD4	0.349	yes
Q9HA64	P88959	0.130	no
Q16666	F8RE30	0.176	no
Q86VP6	Q6TVJ1	0.286	yes
P20591	Q8JPR0	0.148	no
P78352	Q0A2H0	0.285	yes
Q5VV52	R9UMC1	0.032	no
O94986	Q9DLK6	0.091	no
Q99759	Q6DP93	0.083	no
O15118	X5HMX4	0.166	no
P42224	A4GDF4	0.213	yes
O75525	I6TAG8	0.221	yes
Q12800	P03485	0.149	no
P28799	Q69114	0.053	no
P61981	A0A7S4U3Y4	0.111	no
Q9Y5M8	B9UPF3	0.103	no
P0CG48	P10211	0.038	no
Q96DU3	D3JIT8	0.077	no
P42224	Q76RC6	0.207	no
P04792	Q805P6	0.082	no
Q16666	P10234	0.173	no
P25685	P06930	0.173	no
P51610	P30020	0.208	no
P25815	Q05320	0.055	no
Q9Y6C9	A0A0C7TUY8	0.063	no
O75398	P14357	0.123	no
Q13651	P03180	0.062	no
Q53GL7	A4D8X6	0.077	no
P46379	R9UQM6	0.181	no
Q9NSC5	Q3KSS3	0.184	no
P49069	P0DSV7	0.057	no
Q16666	P10185	0.177	no
P20226	P87662	0.096	no
Q12959	P30911	0.345	yes
P04792	P17371	0.043	no
P04637	Q1NZ49	0.068	no
P56962	P88990	0.107	no
Q15906	P03493	0.076	no
O95153	Q9WNA9	0.230	yes
O95271	P03211	0.210	no
P08195	P03454	0.116	no
Q16666	G8HBD9	0.195	no
P15529	P68323	0.049	no
Q9H4A3	Q9QAI4	0.303	yes
Q8IZ63	P10201	0.090	no
Q9HD26	A4URT5	0.149	no
Q93009	Q9DUN1	0.107	no
Q96SI9	P03496	0.350	yes
Q5VU43	P88992	0.367	yes
P56199	P04512	0.114	no
Q9C0F1	P03225	0.100	no
O14733	P20505	0.073	no
Q9UKJ1	A1Z0P7	0.057	no
O43709	P36801	0.095	no
P61956	P19893	0.080	no
Q16666	F8RFA1	0.184	no
P46109	Q99AU3	0.185	no
Q92997	Q20MD4	0.142	no
Q9NRY6	P10227	0.065	no
Q04917	P10230	0.098	no
P62877	Q6TVW2	0.081	no
P07305	P06459	0.135	no
P61769	P59596	0.058	no
Q07812	P03495	0.102	no
Q96SI9	Q20MH3	0.317	yes
O00165	Q9QR69	0.056	no
Q92621	Q99152	0.285	yes
Q10589	A9QPL9	0.061	no
Q9UI95	P24935	0.067	no
Q13630	P06428	0.142	no
Q92966	A4ZNQ3	0.109	no
P78344	P11158	0.178	no
P27694	P88981	0.263	yes
Q99750	Q3KSS4	0.093	no
P46934	Q77DJ6	0.189	no
P68363	P59637	0.110	no
P01903	P03437	0.053	no
P78556	O57300	0.059	no
O95832	P0DTC5	0.057	no
P05455	Q194T2	0.179	no
Q99689	P03086	0.081	no
Q8N9W6	P10210	0.061	no
P20700	P0DTC4	0.124	no
Q13651	P0C6Z6	0.073	no
O75843	P03139	0.134	no
O00505	Q20MD0	0.247	yes
Q14258	B4URA9	0.134	no
Q16666	A0A5J6DW60	0.194	no
P00747	P15240	0.038	no
Q01813	P03452	0.146	no
O95786	P04543	0.154	no
Q9H1Y0	Q30NB4	0.087	no
Q9H0W5	B4URE7	0.138	no
Q9Y4K3	Q6SWB7	0.122	no
Q93009	F5H9G3	0.102	no
O15111	P04862	0.156	no
Q9UI95	Q779E8	0.061	no
Q13888	P21698	0.048	no
Q9ULM6	P88937	0.125	no
Q16666	P04291	0.211	no
P63267	A0A5J6DVX6	0.105	no
Q9NZT1	Q1K9G9	0.171	no
Q15477	C8XNX3	0.072	no
Q9UHD2	P08353	0.199	no
Q9UBQ7	A0A0B6VKU0	0.131	no
Q9Y5L4	Q05128	0.083	no
Q9H6X4	Q81871	0.028	no
Q00987	Q1HVF7	0.158	no
Q9UKJ1	P06436	0.057	no
Q14653	F5HIC6	0.065	no
P21912	Q98131	0.161	no
Q15477	K9N4V0	0.038	no
Q9HD26	Q6VE52	0.195	no
P04637	Q9QJ49	0.043	no
Q13751	Q3ZK64	0.113	no
Q08174	Q9ICL0	0.093	no
Q13546	F5HAR0	0.045	no
Q86V48	P88986	0.205	no
P07355	P04305	0.090	no
P62136	P36313	0.072	no
O14646	B2BUF1	0.147	no
O14818	Q6SWW3	0.125	no
P63244	Q9Q2P1	0.099	no
P15311	B4UPA8	0.164	no
P13500	O41925	0.095	no
Q9UQ52	P0DKB0	0.115	no
Q8WUM4	O55527	0.187	no
Q93088	Q76R62	0.092	no
P56537	P88940	0.133	no
Q8NC69	Q2PJP0	0.109	no
P35968	P52584	0.124	no
P06400	Q6SW29	0.125	no
P61803	P06929	0.083	no
Q9HD26	Q9IBY5	0.141	no
O15162	P0CK47	0.113	no
P61221	Q9WH76	0.181	no
O00410	Q9YKI3	0.239	yes
Q12959	Q9ICL1	0.263	yes
Q05BQ5	P23372	0.130	no
P05455	O39474	0.115	no
Q08431	P06461	0.075	no
Q6UXV4	P88988	0.095	no
Q96RT1	A3EXD4	0.349	yes
Q9HA64	P88959	0.130	no
Q16666	F8RE30	0.176	no
Q86VP6	Q6TVJ1	0.286	yes
P20591	Q8JPR0	0.148	no
P78352	Q0A2H0	0.285	yes
Q5VV52	R9UMC1	0.032	no
O94986	Q9DLK6	0.091	no
Q99759	Q6DP93	0.083	no
O15118	X5HMX4	0.166	no
P42224	A4GDF4	0.213	yes
O75525	I6TAG8	0.221	yes
Q12800	P03485	0.149	no
P28799	Q69114	0.053	no
P61981	A0A7S4U3Y4	0.111	no
Q9Y5M8	B9UPF3	0.103	no
P0CG48	P10211	0.038	no
Q96DU3	D3JIT8	0.077	no
P42224	Q76RC6	0.207	no
P04792	Q805P6	0.082	no
Q16666	P10234	0.173	no
P25685	P06930	0.173	no
P51610	P30020	0.208	no
P25815	Q05320	0.055	no
Q9Y6C9	A0A0C7TUY8	0.063	no
O75398	P14357	0.123	no
Q13651	P03180	0.062	no
Q53GL7	A4D8X6	0.077	no
P46379	R9UQM6	0.181	no
Q9NSC5	Q3KSS3	0.184	no
P49069	P0DSV7	0.057	no
Q16666	P10185	0.177	no
P20226	P87662	0.096	no
Q12959	P30911	0.345	yes
P04792	P17371	0.043	no
P04637	Q1NZ49	0.068	no
P56962	P88990	0.107	no
Q15906	P03493	0.076	no
O95153	Q9WNA9	0.230	yes
O95271	P03211	0.210	no
P08195	P03454	0.116	no
Q16666	G8HBD9	0.195	no
P15529	P68323	0.049	no
Q9H4A3	Q9QAI4	0.303	yes
Q8IZ63	P10201	0.090	no
Q9HD26	A4URT5	0.149	no
Q93009	Q9DUN1	0.107	no
Q96SI9	P03496	0.350	yes
Q5VU43	P88992	0.367	yes
P56199	P04512	0.114	no
Q9C0F1	P03225	0.100	no
O14733	P20505	0.073	no
Q9UKJ1	A1Z0P7	0.057	no
O43709	P36801	0.095	no
P61956	P19893	0.080	no
Q16666	F8RFA1	0.184	no
P46109	Q99AU3	0.185	no
Q92997	Q20MD4	0.142	no
Q9NRY6	P10227	0.065	no
Q04917	P10230	0.098	no
P62877	Q6TVW2	0.081	no
P07305	P06459	0.135	no
P61769	P59596	0.058	no
Q07812	P03495	0.102	no
Q96SI9	Q20MH3	0.317	yes
O00165	Q9QR69	0.056	no
Q92621	Q99152	0.285	yes
Q10589	A9QPL9	0.061	no
Q9UI95	P24935	0.067	no
Q13630	P06428	0.142	no
Q92966	A4ZNQ3	0.109	no
P78344	P11158	0.178	no
A0A0B4J2D5	CAP08171.1	0.106	no
A0A0B4J2D5	NP_570162.1	0.067	no
A0A0B4J2D5	NP_570752.1	0.085	no
A0A0B4J2D5	YP_214059.1	0.093	no
A0A0B4J2D5	YP_010113268.1	0.087	no
A0A0B4J2D5	YP_009703182.1	0.061	no
A0A0B4J2D5	YP_182370.1	0.102	no
A0A0B4J2D5	NP_570287.1	0.074	no
A0A0B4J2D5	YP_010097628.1	0.078	no
A0A0B4J2D5	AFD21954.1	0.106	no
A0A0B4J2D5	YP_009508837.1	0.111	no
A0A0B4J2D5	NP_066828.1	0.092	no
A0A0B4J2D5	AEV55017.1	0.100	no
A0A0B4J2D5	YP_009130677.1	0.085	no
A0A0B4J2D5	YP_182384.1	0.100	no
A0A0B4J2D5	YP_214050.1	0.080	no
A0A0B4J2D5	YP_068345.1	0.097	no
A0A0B4J2D5	YP_010097108.1	0.065	no
A0A0B4J2D5	YP_008492991.1	0.088	no
A0A0B4J2D5	YP_008493006.1	0.099	no
A0A0B4J2D5	YP_005296322.1	0.078	no
A0A0B4J2D5	CAP08162.1	0.099	no
A0A0B4J2D5	YP_009825001.1	0.110	no
A0A0B4J2D5	YP_068298.1	0.089	no
A0A0B4J2D5	YP_009337832.1	0.100	no
A0A0B4J2D5	YP_008145318.1	0.087	no
A0A0B4J2D5	YP_009130676.1	0.081	no
A0A0B4J2D5	YP_009703216.1	0.119	no
A0A0B4J2D5	YP_009703126.1	0.111	no
A0A0B4J2D5	NP_570309.1	0.068	no
A0A0B4J2D5	YP_068321.1	0.127	no
A0A0B4J2D5	AAD21338.1	0.095	no
A0A0B4J2D5	YP_009252348.1	0.114	no
A0A0B4J2D5	YP_068277.1	0.119	no
A0A0B4J2D5	NP_108653.1	0.095	no
A0A0B4J2D5	YP_005296245.1	0.059	no
A0A0B4J2D5	YP_182408.1	0.079	no
A0A0B4J2D5	YP_004152334.1	0.103	no
A0A0B4J2D5	YP_009703165.1	0.153	no
A0A0B4J2D5	BAA82943.1	0.099	no
A0A0B4J2D5	YP_009252349.1	0.074	no
A0A0B4J2D5	YP_004346953.1	0.113	no
A0A0B4J2D5	YP_009508839.1	0.103	no
A0A0B4J2D5	YP_182366.1	0.087	no
A0A0B4J2D5	YP_209234.1	0.093	no
A0A0B4J2D5	NP_570303.1	0.059	no
A0A0B4J2D5	YP_009344932.1	0.067	no
A0A0B4J2D5	YP_214145.1	0.071	no
A0A0B4J2D5	YP_009553208.1	0.097	no
A0A0B4J2D5	CAZ86711.1	0.110	no
A0A0B4J2D5	YP_009703135.1	0.067	no
A0A0B4J2D5	AEV55062.1	0.069	no
A0A0B4J2D5	YP_068196.1	0.094	no
A0A0B4J2D5	AAD21339.1	0.109	no
A0A0B4J2D5	YP_001285932.1	0.141	no
A0A0B4J2D5	YP_009703141.1	0.077	no
A0A0B4J2D5	YP_009703150.1	0.059	no
A0A0B4J2D5	CAP08148.1	0.077	no
A0A0B4J2D5	YP_009094036.1	0.117	no
A0A0B4J2D5	NP_595041.1	0.096	no
A0A0B4J2D5	YP_009010979.1	0.091	no
A0A0B4J2D5	YP_006390081.1	0.137	no
A0A0B4J2D5	BAA82917.1	0.093	no
A0A0B4J2D5	YP_214076.1	0.083	no
A0A0B4J2D5	YP_001033976.1	0.069	no
A0A0B4J2D5	NP_066830.1	0.094	no
A0A0B4J2D5	YP_009252354.1	0.088	no
A0A0B4J2D5	YP_009508492.1	0.059	no
A0A0B4J2D5	YP_009667036.1	0.064	no
A0A0B4J2D5	YP_214038.1	0.081	no
A0A0B4J2D5	AFV77573.1	0.091	no
A0A0B4J2D5	YP_010097624.1	0.061	no
A0A0B4J2D5	YP_008145314.1	0.102	no
A0A0B4J2D5	YP_009703122.1	0.104	no
A0A0B4J2D5	AAC64687.1	0.085	no
A0A0B4J2D5	YP_010113272.1	0.136	no
A0A0B4J2D5	CAP08117.1	0.115	no
A0A0B4J2D5	YP_006331066.1	0.087	no
A0A0B4J2D5	NP_044212.1	0.101	no
A0A0B4J2D5	YP_009252270.1	0.077	no
A0A0B4J2D5	YP_009344867.1	0.091	no
A0A0B4J2D5	YP_214164.1	0.071	no
A0A0B4J2D5	YP_007974229.1	0.073	no
A0A0B4J2D5	AAD21408.1	0.136	no
A0A0B4J2D5	YP_010097085.1	0.083	no
A0A0B4J2D5	YP_009094043.1	0.084	no
A0A0B4J2D5	NP_570822.1	0.079	no
A0A0B4J2D5	YP_068126.1	0.135	no
A0A0B4J2D5	CAZ86702.1	0.115	no
A0A0B4J2D5	YP_010113366.1	0.087	no
A0A0B4J2D5	AEV55065.1	0.074	no
A0A0B4J2D5	CAP08123.1	0.053	no
A0A0B4J2D5	YP_009252241.1	0.089	no
A0A0B4J2D5	YP_010097659.1	0.089	no
A0A0B4J2D5	YP_010097074.1	0.062	no
A0A0B4J2D5	YP_009408614.1	0.047	no
A0A0B4J2D5	YP_010113390.1	0.085	no
A0A0B4J2D5	YP_003896055.1	0.099	no
A0A0B4J2D5	YP_067942.1	0.091	no
A0A0B4J2D5	CAP08168.1	0.098	no
A0A0B4J2D5	YP_009252352.1	0.117	no
A0A0B4J2D5	YP_004346944.1	0.113	no
A0A0B4J2D5	YP_009552100.1	0.093	no
A0A0B4J2D5	YP_009703160.1	0.110	no
A0A0B4J2D5	YP_009344837.1	0.121	no
A0A0B4J2D5	YP_005296347.1	0.049	no
A0A0B4J2D5	YP_009344828.1	0.091	no
A0A0B4J2D5	CAP08071.1	0.075	no
A0A0B4J2D5	YP_010113259.1	0.064	no
A0A0B4J2D5	NP_570821.1	0.079	no
A0A0B4J2D5	AEV55037.1	0.085	no
A0A0B4J2D5	YP_004123757.1	0.159	no
A0A0B4J2D5	AAD21353.1	0.121	no
A0A0B4J2D5	YP_009703137.1	0.088	no
A0A0B4J2D5	YP_010097093.1	0.093	no
A0A0B4J2D5	YP_010113273.1	0.087	no
A0A0B4J2D5	YP_009030025.1	0.085	no
A0A0B4J2D5	YP_009551990.1	0.083	no
A0A0B4J2D5	AEV54979.1	0.113	no
A0A0B4J2D5	YP_004346948.1	0.114	no
A0A0B4J2D5	CAP08115.1	0.101	no
A0A0B4J2D5	NP_058428.1	0.107	no
A0A0B4J2D5	YP_182400.1	0.092	no
A0A0B4J2D5	YP_214077.1	0.099	no
A0A0B4J2D5	YP_068266.1	0.084	no
A0A0B4J2D5	YP_009344950.1	0.079	no
A0A0B4J2D5	AFD21933.1	0.143	no
A0A0B4J2D5	ACA24943.1	0.069	no
A0A0B4J2D5	YP_010097674.1	0.091	no
A0A0B4J2D5	YP_009344912.1	0.073	no
A0A0B4J2D5	YP_010113332.1	0.081	no
A0A0B4J2D5	YP_010113401.1	0.090	no
A0A0B4J2D5	CAP08161.1	0.097	no
A0A0B4J2D5	YP_214037.1	0.074	no
A0A0B4J2D5	AFD21999.1	0.113	no
A0A0B4J2D5	YP_009553675.1	0.104	no
A0A0B4J2D5	NP_570767.1	0.124	no
A0A0B4J2D5	YP_005296370.1	0.088	no
A0A0B4J2D5	NP_570231.1	0.092	no
A0A0B4J2D5	YP_068353.1	0.091	no
A0A0B4J2D5	AAD21404.1	0.093	no
A0A0B4J2D5	NP_570237.1	0.089	no
A0A0B4J2D5	NP_015532.1	0.097	no
A0A0B4J2D5	YP_214035.1	0.115	no
A0A0B4J2D5	YP_001034008.1	0.073	no
A0A0B4J2D5	AAT95219.1	0.099	no
A0A0B4J2D5	YP_009703068.1	0.115	no
A0A0B4J2D5	AEP82753.1	0.091	no
A0A0B4J2D5	YP_214135.1	0.093	no
A0A0B4J2D5	YP_010097098.1	0.075	no
A0A0B4J2D5	YP_008720072.1	0.093	no
A0A0B4J2D5	BAA82892.1	0.093	no
A0A0B4J2D5	YP_009054987.1	0.104	no
A0A0B4J2D5	YP_009667151.1	0.077	no
A0A0B4J2D5	AAD21345.1	0.099	no
A0A0B4J2D5	CAP08163.1	0.102	no
A0A0B4J2D5	NP_570786.1	0.077	no
A0A0B4J2D5	AP_000255.1	0.127	no
A0A0B4J2D5	YP_010113372.1	0.089	no
A0A0B4J2D5	YP_008145322.1	0.093	no
A0A0B4J2D5	YP_009109585.1	0.089	no
A0A0B4J2D5	YP_009552120.1	0.117	no
A0A0B4J2D5	NP_570813.1	0.079	no
A0A0B4J2D5	YP_004346910.1	0.098	no
A0A0B4J2D5	YP_009252287.1	0.088	no
A0A0B4J2D5	YP_182398.1	0.086	no
A0A0B4J2D5	YP_009344880.1	0.106	no
A0A0B4J2D5	YP_009252260.1	0.095	no
A0A0B4J2D5	YP_001034004.1	0.138	no
A0A0B4J2D5	YP_004123758.1	0.145	no
A0A0B4J2D5	AEV55028.1	0.067	no
A0A0B4J2D5	YP_173325.1	0.096	no
A0A0B4J2D5	YP_214124.1	0.087	no
A0A0B4J2D5	YP_068377.2	0.055	no
A0A0B4J2D5	CAP08153.1	0.107	no
A0A0B4J2D5	AFD22083.1	0.099	no
A0A0B4J2D5	YP_009508803.1	0.081	no
A0A0B4J2D5	YP_004956723.1	0.072	no
A0A0B4J2D5	YP_001033929.1	0.109	no
A0A0B4J2D5	YP_005296349.1	0.070	no
A0A0B4J2D5	YP_009508840.1	0.103	no
A0A0B4J2D5	YP_010086828.1	0.097	no
A0A0B4J2D5	ACN89732.1	0.089	no
A0A0B4J2D5	YP_001331031.1	0.085	no
A0A0B4J2D5	YP_182388.1	0.090	no
A0A0B4J2D5	NP_570818.1	0.095	no
A0A0B4J2D5	YP_008492983.1	0.104	no
A0A0B4J2D5	CAP08210.1	0.088	no
A0A0B4J2D5	YP_009337824.1	0.088	no
A0A0B4J2D5	NP_066853.2	0.085	no
A0A0B4J2D5	ABG89314.1	0.104	no
A0A0B4J2D5	YP_009199247.1	0.095	no
A0A0B4J2D5	CAP08097.1	0.087	no
A0A0B4J2D5	YP_008493004.1	0.100	no
A0A0B4J2D5	YP_001034014.1	0.193	no
A0A0B4J2D5	YP_214047.1	0.079	no
A0A0B4J2D5	YP_005296224.1	0.075	no
A0A0B4J2D5	YP_009054993.1	0.099	no
A0A0B4J2D5	YP_009703183.1	0.072	no
A0A0B4J2D5	NP_570753.1	0.099	no
A0A0B4J2D5	YP_009380532.1	0.093	no
A0A0B4J2D5	AEV55026.1	0.095	no
A0A0B4J2D5	YP_010097698.1	0.096	no
A0A0B4J2D5	YP_009703092.1	0.111	no
A0A0B4J2D5	YP_010113317.1	0.088	no
A0A0B4J2D5	YP_214051.1	0.115	no
A0A0B4J2D5	YP_009109620.1	0.097	no
A0A0B4J2D5	YP_010097683.1	0.092	no
A0A0B4J2D5	YP_005296204.1	0.070	no
A0A0B4J2D5	YP_009505573.1	0.097	no
A0A0B4J2D5	YP_004021924.1	0.075	no
A0A0B4J2D5	YP_182337.1	0.084	no
A0A0B4J2D5	YP_214079.1	0.120	no
A0A0B4J2D5	YP_010097068.1	0.101	no
A0A0B4J2D5	YP_004346951.1	0.095	no
A0A0B4J2D5	YP_214116.1	0.107	no
A0A0B4J2D5	YP_008493003.1	0.081	no
A0A0B4J2D5	YP_068326.1	0.071	no
A0A0B4J2D5	YP_008492955.1	0.067	no
A0A0B4J2D5	YP_008493019.1	0.079	no
A0A0B4J2D5	YP_003896047.1	0.083	no
A0A0B4J2D5	NP_066907.1	0.099	no
A0A0B4J2D5	ACN89695.1	0.094	no
A0A0B4J2D5	YP_009703066.1	0.095	no
A0A0B4J2D5	AER30023.1	0.105	no
A0A0B4J2D5	ACU27446.1	0.111	no
A0A0B4J2D5	NP_066891.2	0.105	no
A0A0B4J2D5	YP_214086.1	0.059	no
A0A0B4J2D5	YP_009506306.1	0.103	no
A0A0B4J2D5	YP_009505552.1	0.082	no
A0A0B4J2D5	AEP04094.1	0.064	no
A0A0B4J2D5	AEV55001.1	0.077	no
A0A0B4J2D5	CAP08114.1	0.076	no
A0A0B4J2D5	YP_009344919.1	0.053	no
A0A0B4J2D5	YP_007974228.1	0.105	no
A0A0B4J2D5	YP_009344953.1	0.091	no
A0A0B4J2D5	AP_000360.1	0.073	no
A0A0B4J2D5	YP_005296331.1	0.059	no
A0A0B4J2D5	AP_000075.1	0.135	no
A0A0B4J2D5	NP_040834.1	0.115	no
A0A0B4J2D5	YP_005296192.1	0.088	no
A0A0B4J2D5	YP_008492988.1	0.093	no
A0A0B4J2D5	YP_009408607.1	0.103	no
A0A0B4J2D5	AFD97609.1	0.085	no
A0A0B4J2D5	YP_005296201.1	0.103	no
A0A0B4J2D5	YP_009344956.1	0.091	no
A0A0B4J2D5	AAD21372.1	0.067	no
A0A0B4J2D5	YP_182354.1	0.129	no
A0A0B4J2D5	ACN89715.1	0.089	no
A0A0B4J2D5	YP_010113388.1	0.093	no
A0A0B4J2D5	YP_214033.1	0.096	no
A0A0B4J2D5	YP_068112.1	0.091	no
A0A0B4J2D5	YP_009679042.1	0.069	no
A0A0B4J2D5	YP_009703204.1	0.085	no
A0A0B4J2D5	NP_066879.1	0.097	no
A0A0B4J2D5	YP_009252346.1	0.095	no
A0A0B4J2D5	CAP08068.1	0.096	no
A0A0B4J2D5	YP_009196.1	0.082	no
A0A0B4J2D5	YP_008493015.1	0.081	no
A0A0B4J2D5	YP_004346934.1	0.110	no
A0A0B4J2D5	YP_008492978.1	0.086	no
A0A0B4J2D5	YP_009703139.1	0.099	no
A0A0B4J2D5	YP_068156.1	0.121	no
A0A0B4J2D5	CAP08086.1	0.107	no
A0A0B4J2D5	YP_009344833.1	0.091	no
A0A0B4J2D5	YP_010097701.1	0.097	no
A0A0B4J2D5	NP_066889.1	0.119	no
A0A0B4J2D5	YP_007974230.1	0.093	no
A0A0B4J2D5	YP_009109623.1	0.098	no
A0A0B4J2D5	ACA24941.1	0.057	no
A0A0B4J2D5	YP_009508838.1	0.092	no
A0A0B4J2D5	YP_005296199.1	0.078	no
A0A0B4J2D5	YP_008492969.1	0.083	no
A0A0B4J2D5	YP_173333.1	0.094	no
A0A0B4J2D5	ABG89315.1	0.105	no
A0A0B4J2D5	YP_009344879.1	0.068	no
A0A0B4J2D5	YP_214142.1	0.090	no
A0A0B4J2D5	YP_009344889.1	0.099	no
A0A0B4J2D5	YP_009703196.1	0.092	no
A0A0B4J2D5	YP_008145319.1	0.075	no
A0A0B4J2D5	YP_068099.1	0.068	no
A0A0B4J2D5	YP_004956721.1	0.085	no
